Latin;Nature/genre;Français
ardinarius, a, um;adj;conforme à l'ordre, usuel
ordinarius, i;m;surveillant
ornare;;équiper
ornatus miles;m;soldat bien équipé
ornatus, us;m;équipement, ornement
ornamentum, i;n;équipement, ornement
subornare;;équiper en dessous
aro, aras, aravi, aratum, arare;;labourer, cultiver
arator, oris;m;laboureur
aratorius, a, um;adj;instrument aratoire
aratrum, i;n;charrue
arabilis, e;adj;arable
arva, orum;n pl;champs labourés
arra, ae;f;arrhes
pignus, oris;n;gage
arx, arcis;f;citadelle
arca, ae;f;coffre
arcanus, a, um;adj;discret, secret
arcanum, i;n;secret, mystère
arceo, es, ui, ere;;renfermer, maintenir à distance
coercere;;réfréner, réprimer
exercere;;repousser hors de
exercitus, us;m;exercice, armée
exercitium, i;n;exercice
exercitus, a, um;adj;éprouvé
exercitatus, a, um;adj;exercé, entraîné
asinus, i;m;âne
asellus, i;m;ânon
Asinaria;;Asinaire
asinus asinum;m;l'âne frotte l'âne
asper, aspera, asperum;adj;rugueux
asperitas, atis;f;aspérité, apreté
exasperare;;rendre rugueux, irriter
ast, at;;d'autre part, quant à, du moins
at ego;;quant à moi
atque/ac;;et d'autre part
aeque ac;;autant que
alius est atque erat;;il est autre qu'il n'était
atqui;;mais de toute façon
ater, atra, atrum;adj;noir, venimeux
atramentum, i;n;encre noire
atrox, ocis;adj;terrible, affreux
atrium, i;n;atrium
audio, is, ivi, itum, ire;;entendre, comprendre
oboedire;;obéir
exaudire;;exaucer
augeo, es, auxi, auctum, augere;;s'augmenter
augur, auguris;m;augure
lituus;m;bâton augural (bâton recourbé et sans nœud)
augustus, a, um;adj;qui est indiqué par les augures
mensis;m;mois
augurare;;prendre les augures
inaugurare;;prédire
auctor, oris;m;créateur, fondateur
auctoritas, atis;f;création, fondation
auctio, onis;f;mise aux enchères
auctionari;;mettre aux enchères
auctus, us;m;accroissement
auxilium, i;n;secours
auxiliaris, e;adj;auxiliaire
auxiliares;m;les troupes auxillaires
aulla, ae;f;marmite
aulula, ae;f;petite marmite
Aulularia;;Aululaire
aula, ae;f;cour
aulicus, a, um;adj;de la cour
auriga, ae;m;conducteur
auris, is;f;oreille
auricularis, e;adj;de l'oreille
auricularius, a, um;adj;de l'oreille
inaures, ium;f;boucles d'oreille
auscultare;;écouter
aurora, ae;f;aurore
aurum, i;n;or
aureus, a, um;adj;qui est en or
aureolus, a, um;adj;d'or
aut;;ou
autem;;d'autre part
autumare;;dire, affirmer
ave;;salut !
vale;;adieu
avena, ae;f;avoine, chalumeau
aveo, es, ere;;désirer vivement
avidus, a, um;adj;avide
aviditas, atis;f;avidité
avarus, a, um;adj;qui est avide d'argent, avare
avaritia;f;avarice
audeo, audes, ausus sum, audere;;être désireux de
sodes;;s'il te plaît
audax, acis;adj;audacieux
avis, is;f;oiseau
auca, ae;m;oie
auceps, cupis;m;oiseleur
auspex, spicis;m;l'homme qui examine le vol des oiseaux
auspicium, i;n;auspice
avus, i;m;grand-père
proavus;m;bisaïeul
abavus;m;trisaïeul
atavus;m;père du trisaïeul
avunculus, i;m;oncle
axis, is;m;pôle, ciel, climat
axungia, ae;f;graisse pour essieu, graisse de porc
ungere;;oindre
ala, ae;f;aile
axilla, ae;f;aisselle
ales, itis;adj;ailé
